Age of Empires II: HD Edition                   | Steam | 3924MB
Strike Suit Infinity                            | Steam | 2199MB
Surgeon Simulator                               | Steam | 2223MB
The Swapper                                     | Steam | 980MB
Terraria                                        | Steam | 846MB
TrackMania2 Canyon                              | Steam | 1178MB
TrackMania2 Stadium                             | Steam | 703MB
Transformers: War for Cybertron                 | Steam | 8439MB
Thrine 2                                        | Steam | 4721MB
Urban Trial Freestyle                           | Steam | 695MB
Valiant Hearts: The Great War                   | Steam | 1352MB
Wolfenstein: The New Order                      | Steam | 44606MB
Year Walk                                       | Steam | 974MB
Doom                                            | DOS   | 17MB
Hurl                                            | DOS   | 23MB
Lemmings                                        | DOS   | 6MB
Raptor                                          | DOS   | 18MB
Wolfenstein 3D                                  | DOS   | 8MB
Age of Empires II: Gold Edition                 | PC    | 513MB
Anomaly Warzone Earth                           | PC    | 483MB
Assassin's Creed                                | PC    | 6.47GB
Assassin's Creed II                             | PC    | 6.32GB
Battlefield Bad Company 2                       | PC    | 6.04GB
BioShock                                        | PC    | 6.06GB
BioShock 2                                      | PC    | 7.40GB
Black & White II                                | PC    | 2.57GB
Braid                                           | PC    | 139MB
Call of Duty 4: Modern Warfare                  | PC    | 6.75GB
Call of Duty: World at War                      | PC    | 6.96GB
Call of Duty: Modern Warfare 2                  | PC    | 11.0GB
Crysis                                          | PC    | 5.9GB
Dark Fall: Lost Souls                           | PC    | 1.09GB
Darksiders                                      | PC    | 13.7GB
Diablo                                          | PC    | 640MB
Diablo: Hellfire                                | PC    | 763MB
Diablo II                                       | PC    | 2.00GB
DiRT 2                                          | PC    | 6.83GB
F.E.A.R                                         | PC    | 4.48GB
F.E.A.R. 2: Project Origin                      | PC    | 6.80GB
F.E.A.R. Extraction Point                       | PC    | 1.26GB
F.E.A.R. Perseus Mandate                        | PC    | 3.88GB
Fallout 3                                       | PC    | 5.52GB
Flatout 2                                       | PC    | 4.29GB
Geometry Wards: Retro Evolved                   | PC    | 55.4MB
Grand Theft Auto                                | PC    | 328MB
Grand Theft Auto II                             | PC    | 344MB
Grand Theft Auto III                            | PC    | 786MB
Grand Theft Auto IV                             | PC    | 13.9GB
Grand Theft Auto: San Andreas                   | PC    | 1.25GB
Grand Theft Auto: Vice City                     | PC    | TODO
GRID                                            | PC    | 6.46GB
Grim Fandango                                   | PC    | 1.23GB
Guitar Hero III Custom Pack                     | PC    | 1.95GB
Half-Life                                       | PC    | 231MB
Half-Life: Blue Shift                           | PC    | 624MB
Half-Life: Opposing Force                       | PC    | 216MB
IL-2 Sturmovik: 1946                            | PC    | 1.52GB
IL-2 Sturmovik: Forgotten Battles               | PC    | 502MB
Jezzball                                        | PC    | 124KB
Just Cause 2                                    | PC    | 4.00GB
Left 4 Dead                                     | PC    | 2.27GB
Left 4 Dead 2                                   | PC    | 7.87GB
Lego Island                                     | PC    | 556MB
Lego Loco                                       | PC    | 369MB
Lego Rock Raiders                               | PC    | 133MB
LIMBO                                           | PC    | 70.6MB
Lost Planet: Exreme Condition                   | PC    | 7.15GB
Marble Blast Gold                               | PC    | 89.6MB
Mass Effect                                     | PC    | 3.66GB
Mass Effect 2                                   | PC    | 14.2GB
Mirror's Edge                                   | PC    | 6.14GB
Motocross Madness 2                             | PC    | 635MB
Need for Speed: Shift                           | PC    | 5.41GB
Nikopol: Secrets of the Immortals               | PC    | 1.51GB
Oblivion: Elder Scrolls                         | PC    | 4.15GB
Pocket Tanks                                    | PC    | 41.7MB
Portal                                          | PC    | 583MB
Prince of Persia                                | PC    | 7.21GB
Prince of Persia: The Two Thrones               | PC    | 4.16GB
Prototype                                       | PC    | 7.42GB
Red Faction: Guerrilla                          | PC    | 7.73GB
Resident Evil 5                                 | PC    | 6.96GB
Roller Coaster Tycoon: Deluxe                   | PC    | 501MB
Roller Coaster Tycoon 2: Tripple Thrill         | PC    | 1.14GB
S.T.A.L.K.E.R.: Call of Pripyat                 | PC    | 4.37GB
S.T.A.L.K.E.R.: Clear Sky                       | PC    | 3.98GB
Sim City 4: Deluxe Edition                      | PC    | 1.22GB
StarCraft                                       | PC    | 637MB
StarCraft: BroodWar                             | PC    | 609MB
StepMania                                       | PC    | 6.72GB
The Sims                                        | PC    | TODO
The Sims 2                                      | PC    | 14.1GB
The Sims 3                                      | PC    | 5.63GB
The Swapper                                     | PC    | 780MB
World of Goo                                    | PC    | 62.2MB
Assassin's Creed 3                              | PC    | 7.71GB
Dishonored                                      | PC    | 5.54GB
Far Cry 3                                       | PC    | 9.64GB
Assasin's Creed: Brotherhood                    | PC    | 7.79GB
Baldur's Gate II                                | PC    | 3.06GB
Battlefield 3                                   | PC    | 13.5GB
Call of Duty: Modern Warfare 3                  | PC    | 13.8GB
Crysis 2                                        | PC    | 9.23GB
Elder Scrolls V: Skyrim                         | PC    | 5.12GB
Fallout New Vegas                               | PC    | 6.24GB
From Dust                                       | PC    | 1.43GB
Rage                                            | PC    | 18.0GB
Red Faction: Armageddon                         | PC    | 7.48GB
Saints Row: The Thrid                           | PC    | 7.76GB
Sonic Generations                               | PC    | 7.52GB
Super Meat Boy                                  | PC    | 234MB
#
#
#
#
#
#
#
#
#------------------------------------------------------------------
#
#
#
#39 Steps                                        | Steam
#Anachronox                                      | Steam
#Bastion                                         | Steam
#Battlestations: Midway                          | Steam
#Bejeweled 3                                     | Steam
#The Blue Flamingo                               | Steam
#Brutal Legend                                   | Steam
#Crouching Pony Hidden Dragon                    | Steam
#Daikatana                                       | Steam
#Darkout                                         | Steam
#Deadlight                                       | Steam
#Deus Ex                                         | Steam
#Deus Ex: Human Revolution                       | Steam
#Deus Ex: Invisible War                          | Steam
#Deus Ex: The Fall                               | Steam
#Dota 2                                          | Steam
#Duke Nukem 3D: Megaton Edition                  | Steam
#Eets Munchies                                   | Steam
#Eldolon                                         | Steam
#FTL: Faster Than Light                          | Steam
#Galactic Civilizations II: Ultimate Edition     | Steam
#GAUGE                                           | Steam
#Gone Home                                       | Steam
#Half-Life Deathmatch: Source                    | Steam
#Half-Life: Source                               | Steam
#Hammerwatch                                     | Steam
#Hostile Waters: Antaeus Rising                  | Steam
#The Incredible Adventures of Van Helsing        | Steam
#Just Cause 2: Multiplayer Mod                   | Steam
#Lara Croft and the Guardian of Light            | Steam
#The Last Remnant                                | Steam
#Lovely Planet                                   | Steam
#Mark of the Ninja                               | Steam
#Mini Ninjas                                     | Steam
#Monaco                                          | Steam
#Montague's Mount                                | Steam
#Mountain                                        | Steam
#The Mysterious Cities of Gold - Secret Paths    | Steam
#Nosgoth                                         | Steam
#Oddworld: Abe's Oddysee                         | Steam
#Poof                                            | Steam
#Real World Racing                               | Steam
#Receiver                                        | Steam
#Rocketbirds: Hardboiled Chicken                 | Steam
#Scribblenauts Unlimited                         | Steam
#Shadow Warrior Classic Redux                    | Steam
#Shantae: Risky's Revenge                        | Steam
#Showtime!                                       | Steam
#SpeedRunners                                    | Steam
#SteamWorld Dig                                  | Steam
#Storm                                           | Steam
#Strike Vector                                   | Steam
#Syder Arcade                                    | Steam
#Team Fortress Classic                           | Steam
#Thief Gold                                      | Steam
#Unrest                                          | Steam
#Velocity Ultra                                  | Steam
#A Virus Named TOM                               | Steam
#Volgarr the Viking                              | Steam
#Wooden Sen'SeY                                  | Steam
#WRC Powerslide                                  | Steam
#X-COM: UFO Defense                              | Steam
#X-COM: Terror from the Deep                     | Steam
#X-COM: Apocalypse                               | Steam
#X-COM: Interceptor                              | Steam
#X-COM: Enforcer                                 | Steam
#X-COM: Enemy Unknown                            | Steam
